location::Online
level::League
date::2024_08_01
organizer::AlexSmirnov
players::generals
Акишев, Константин :: Ajani, Nacatl Pariah
Александров, Дмитрий :: Ajani, Nacatl Pariah
Антипин, Константин :: Phlage, Titan of Fire's Fury
Байкалов, Антон :: Leovold, Emissary of Trest
Байков, Аркадий :: Imskir Iron-Eater
Богатырев, Александр :: Indoraptor, the Perfect Hybrid
Богданов, Сергей :: Kroxa, Titan of Death's Hunger
Булочко, Михаил :: Ertai Resurrected
Бурмистров, Павел :: Lagrella, the Magpie
Воронцов, Иван :: Hakbal of the Surging Soul
Давыдов, Александр :: Magda, Brazen Outlaw
Долганов, Матвей :: Ajani, Nacatl Pariah
Козлов, Максим :: Feldon, Ronom Excavator
Костин, Андрей :: Imskir Iron-Eater
Кузьменко, Иван :: Kassandra, Eagle Bearer
Ламзин, Сережа :: Golos, Tireless Pilgrim
Ломасов, Дмитрий :: Hogaak, Arisen Necropolis
Марченко, Олег :: Imskir Iron-Eater
Мещеряков, Максим :: Ajani, Nacatl Pariah
Мозоля, Алексей :: Omnath, Locus of Creation
Муравьев, Роман :: Juri, Master of the Revue
Орешкин, Дмитрий :: Satya, Aetherflux Genius
Палачев, Константин :: Raffine, Scheming Seer
Плотников, Александр :: Malcolm, Alluring Scoundrel
Поляков, Герман :: Tamiyo, Inquisitive Student
Поспелов, Александр :: Ral, Monsoon mage
Редько, Павел :: Karlov of the Ghost Council :++: Lurrus of the Dream-Den
Руденко, Олег :: Ertai Resurrected
Сайфутдинов, Тимур :: Omnath, Locus of Creation
Сафаргалиев, Евгений :: Kassandra, Eagle Bearer
Семенов, Дмитрий :: Satya, Aetherflux Genius
Серпутько, Слава :: Omnath, Locus of creation
Сильчев, Никита :: Imskir Iron-Eater
Скляренко, Сергей :: Phelia, Exuberant Shepherd
Сомкин, Константин :: Ral, Monsoon mage
Стрельцов, Артем :: Selvala, Explorer Returned
Сухов, Никита :: Tamiyo, Inquisitive Student
Токарев, Александр :: Eris, Roar of the Storm
Третьяков, Дмитрий :: Rofellos, Llanowar Emissary
Циулин, Иван :: Rigo, Streetwise Mentor
Череповский, Роман :: Imskir Iron-Eater
Шубенин, Илья :: Tamiyo, Inquisitive Student
Round1
     1 Давыдов, Александр           Сайфутдинов, Тимур           Lost 1-2
     2 Семенов, Дмитрий             Воронцов, Иван               Won  2-0
     3 Плотников, Александр         Александров, Дмитрий         Lost 1-2
     4 Кузьменко, Иван              Акишев, Константин           Won  2-0
     5 Поспелов, Александр          Богданов, Сергей             Won  2-1
     6 Богатырев, Александр         Сафаргалиев, Евгений         Lost 0-2
     7 Поляков, Герман              Байкалов, Антон              Won  2-0
     8 Костин, Андрей               Антипин, Константин          Won  2-1
     9 Череповский, Роман           Марченко, Олег               Won  2-0
    10 Сомкин, Константин           Мозоля, Алексей              Won  2-1
    11 Ламзин, Сережа               Токарев, Александр           Won  2-1
    12 Муравьев, Роман              Байков, Аркадий              Won  2-0
    13 Ломасов, Дмитрий             Долганов, Матвей             Won  2-0
    14 Шубенин, Илья                Козлов, Максим               Won  2-1
    15 Сильчев, Никита              Мещеряков, Максим            Won  2-1
    16 Орешкин, Дмитрий             Сухов, Никита                Won  2-1
    17 Скляренко, Сергей            Циулин, Иван                 Won  2-1
    18 Третьяков, Дмитрий           Редько, Павел                Lost 0-2
    19 Стрельцов, Артем             Серпутько, Слава             Lost 1-2
    20 Булочко, Михаил              Руденко, Олег                Won  2-1
    21 Палачев, Константин          Бурмистров, Павел            Won  2-0
Round2
     1 Серпутько, Слава             Палачев, Константин          Won  2-0
     2 Ламзин, Сережа               Сильчев, Никита              Won  2-0
     3 Булочко, Михаил              Александров, Дмитрий         Lost 1-2
     4 Муравьев, Роман              Кузьменко, Иван              Lost 0-2
     5 Сомкин, Константин           Ломасов, Дмитрий             Lost 0-2
     6 Сафаргалиев, Евгений         Орешкин, Дмитрий             Lost 1-2
     7 Сайфутдинов, Тимур           Поспелов, Александр          Won  2-1
     8 Поляков, Герман              Череповский, Роман           Won  2-0
     9 Шубенин, Илья                Костин, Андрей               Lost 1-2
    10 Редько, Павел                Семенов, Дмитрий             Lost 0-2
    11 Скляренко, Сергей            Козлов, Максим               Won  2-1
    12 Долганов, Матвей             Токарев, Александр           Won  2-1
    13 Третьяков, Дмитрий           Стрельцов, Артем             Won  2-0
    14 Байков, Аркадий              Давыдов, Александр           Lost 1-2
    15 Сухов, Никита                Антипин, Константин          Won  2-1
    16 Циулин, Иван                 Мещеряков, Максим            Won  2-1
    17 Мозоля, Алексей              Плотников, Александр         Won  2-0
    18 Богатырев, Александр         Руденко, Олег                Won  2-0
    19 Богданов, Сергей             Воронцов, Иван               Won  2-1
    20 Акишев, Константин           Байкалов, Антон              Won  2-0
    21 Бурмистров, Павел            Марченко, Олег               Won  2-0
Round3
     1 Серпутько, Слава             Сайфутдинов, Тимур           Lost 1-2
     2 Кузьменко, Иван              Ламзин, Сережа               Lost 0-2
     3 Костин, Андрей               Скляренко, Сергей            Won  2-0
     4 Поляков, Герман              Орешкин, Дмитрий             Lost 1-2
     5 Семенов, Дмитрий             Александров, Дмитрий         Lost 0-2
     6 Ломасов, Дмитрий             Циулин, Иван                 Won  2-0
     7 Сафаргалиев, Евгений         Сомкин, Константин           Won  2-0
